Metric,Value,Description
ramulator.active_cycles_16_1,17202,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,8369,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,8833,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,18416,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,9303,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,9113,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,18116,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,9386,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,8730,Total active cycles for level _16_3_1
ramulator.active_cycles_17,72129,Total active cycles for level _17
ramulator.active_cycles_17_0,17425,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,8413,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,9012,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,17527,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,8577,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,8950,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,18885,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,9195,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,9690,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,18426,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,9711,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,8715,Total active cycles for level _17_3_1
ramulator.active_cycles_18,72134,Total active cycles for level _18
ramulator.active_cycles_18_0,16959,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,8488,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,8471,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,18137,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,8754,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,9423,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,19146,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,9819,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,9327,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,18118,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,9068,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,9050,Total active cycles for level _18_3_1
ramulator.active_cycles_19,72865,Total active cycles for level _19
ramulator.active_cycles_19_0,17209,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,8731,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,8478,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,18173,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,8841,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,9332,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,19177,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,9178,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,9999,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,18391,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,9388,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,9003,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,17324,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,9249,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,8075,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,16221,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,7659,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,8562,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,18735,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,9214,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,9521,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,19107,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,9499,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,9608,Total active cycles for level _1_3_1
ramulator.active_cycles_2,72118,Total active cycles for level _2
ramulator.active_cycles_20,71889,Total active cycles for level _20
ramulator.active_cycles_20_0,16569,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,8585,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,7984,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,18562,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,8855,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,9707,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,18425,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,8920,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,9505,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,18418,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,9351,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,9067,Total active cycles for level _20_3_1
ramulator.active_cycles_21,73566,Total active cycles for level _21
ramulator.active_cycles_21_0,17342,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,9034,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,8308,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,18753,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,8760,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,9993,Total active cycles for level _21_1_1
