Metric,Value,Description
ramulator.active_cycles_16_0_1,797722,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,1599740,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,798874,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,801963,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,1590889,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,798020,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,794250,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,1603979,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,805012,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,799235,Total active cycles for level _16_3_1
ramulator.active_cycles_17,6332300,Total active cycles for level _17
ramulator.active_cycles_17_0,1612814,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,809199,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,805336,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,1606798,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,802519,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,806112,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,1598834,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,804677,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,795932,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,1603146,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,804424,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,799538,Total active cycles for level _17_3_1
ramulator.active_cycles_18,6328832,Total active cycles for level _18
ramulator.active_cycles_18_0,1606493,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,804308,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,803923,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,1602247,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,804956,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,798534,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,1593922,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,801329,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,793250,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,1597464,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,800640,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,797599,Total active cycles for level _18_3_1
ramulator.active_cycles_19,6337892,Total active cycles for level _19
ramulator.active_cycles_19_0,1602799,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,800534,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,803696,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,1606003,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,803706,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,803678,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,1596105,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,802775,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,794195,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,1604402,Total active cycles for level _19_3
