Workload,Instructions,Cycles,IPC,Execution_Time_s,L1I_Hits,L1I_Misses,L1I_Miss_Rate_%,L1D_Hits,L1D_Misses,L1D_Miss_Rate_%,L1_Hits,L1_Misses,L1_Miss_Rate_%,L2_Hits,L2_Misses,L2_Miss_Rate_%,L3_Hits,L3_Misses,L3_Miss_Rate_%,L1_MPKI,L2_MPKI,L3_MPKI,LFMR,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Perf_Power_Ratio_IPC_per_mW
rf_host_full,14377223640,9975254589,1.4413,4.156356,810610195,5057601,0.62,194981652,22115421,10.19,194981652,22115421,10.19,22537232,4030728,15.17,24596,4611194,99.47,1.54,0.28,0.32,0.2085,12326053758.0,3654533673.0,1411570376.0,8802956596.0,9222388.0,997525458.9,26195114403.0,27201862249.9,6.5446,220224.2551
rf_pim_compute,14395717694,10958566082,1.3136,4.566069,805892242,8713851,1.07,194967240,22200230,10.22,194967240,22200230,10.22,0,0,0.0,0,0,0.0,1.54,0.0,0.0,0.0,12375940713.0,3657116190.0,0.0,0.0,0.0,1095856608.2,16033056903.0,17128913511.2,3.7513,350180.7457
rf_pim_data,14367805288,10943176262,1.3129,4.559657,804407631,8713858,1.07,188212260,22081579,10.5,188212260,22081579,10.5,0,0,0.0,0,0,0.0,1.54,0.0,0.0,0.0,12353671779.0,3551876007.0,0.0,0.0,0.0,1094317626.2,15905547786.0,16999865412.2,3.7283,352154.8784
rf_pim_full,14373584395,10940516855,1.3138,4.558549,804715111,8713849,1.07,194957415,22114893,10.19,194957415,22114893,10.19,0,0,0.0,0,0,0.0,1.54,0.0,0.0,0.0,12358283682.0,3654152694.0,0.0,0.0,0.0,1094051685.5,16012436376.0,17106488061.5,3.7526,350100.7031
rf_pim_network,14358320013,10928238503,1.3139,4.553433,803903095,8713825,1.07,194932620,22069845,10.17,194932620,22069845,10.17,0,0,0.0,0,0,0.0,1.54,0.0,0.0,0.0,12346102650.0,3652294185.0,0.0,0.0,0.0,1092823850.3,15998396835.0,17091220685.3,3.7535,350041.3135


