Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb_host_full,88761101,36919703,2.4042,0.015383,15383.21,38595799878,121145574,15971696,163147,82703,15972269,1696732,1389872,3.76,152886,697940,2512561,99.04,16.43,43099805,38898847249,38941947054,116.74,105360.67,0,0,2695548,84278,14108595,2779826,3.03,96.97,2695548,1257976,749989,2007965,26546,16977,43523,26705435,20129317,2051488,2.12,97.88,0,0,319,421,0,1123024,0,162504,4703513,127801,4831314,2.65,97.35,1.44,88386,1634,90020,22438,15343,175,37956,127976,29.66,70.34,0.43,106736,16724,502,3258,0,1073321,0,167594,17196,1162,18358,5242,14356,0,19598,37956,51.63,48.37,0.22,15409,10151,0,0,0,19598,0,9723,0.1533,19594,0,19594,1699443,0,1699443,86.73,0,0,43214394,31555734,7670828,54662902,39196,3691970.3,137103858,140835024.3,9.1551,0.009155,262603.6546,30.68,22.41,5.45,38.81,0.03,2.62
nb_pim_compute,88761106,38646212,2.2968,0.016103,16102.59,39562497816,121145562,15971701,163147,82703,15972274,1696733,4753761,12.3,152898,713518,2531662,99.04,16.56,373997846,39138503815,39512501661,967.75,101273.84,0,0,2997213,87513,13819278,3084726,2.84,97.16,2997213,1257950,750063,2008013,26573,16977,43550,26705437,20129309,2051563,2.12,97.88,0,0,340,826,0,48184,0,153058,5005226,131063,5136289,2.55,97.45,1.48,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,131115,16675,147790,6050264,794789,6845053,46.14,47.66,0,47846124,31557345,0,0,0,3864621.2,79403469,83268090.2,5.1711,0.005171,444153.2654,57.46,37.9,0,0,0,4.64
nb_pim_data,88761058,38970487,2.2776,0.016238,16237.7,39852365170,121145513,15971696,163147,82703,15972269,1696735,4733187,12.15,152297,710752,2521057,99.05,16.55,338927797,39119621220,39458549017,869.7,100382.69,0,0,3078758,86945,13735527,3165703,2.75,97.25,3078758,1402156,815180,2217336,26651,16991,43642,26561145,20064178,2260978,1.93,98.07,0,0,335,832,0,48272,0,152800,5296094,130587,5426681,2.41,97.59,1.47,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,130637,16685,147322,6022475,794949,6817424,46.1,47.64,0,49050555,34700226,0,0,0,3897048.7,83750781,87647829.7,5.3978,0.005398,421958.8128,55.96,39.59,0,0,0,4.45
nb_pim_full,88761116,38993293,2.2763,0.016247,16247.21,40075914414,121145571,15971703,163147,82703,15972277,1696734,4752502,12.19,152900,713514,2531575,99.04,16.56,379422078,39142638039,39522060117,973.04,100383,0,0,2997223,87509,13819271,3084732,2.84,97.16,2997223,1402199,815201,2217400,26562,16977,43539,26561200,20064173,2260939,1.93,98.07,0,0,337,829,0,48171,0,152816,5214623,131048,5345671,2.45,97.55,1.48,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,131101,16669,147770,6044465,791824,6836289,46.11,47.5,0,47846142,34697787,0,0,0,3899329.3,82543929,86443258.3,5.3205,0.005321,427839.0133,55.35,40.14,0,0,0,4.51
nb_pim_network,88761091,38996651,2.2761,0.016249,16248.6,39867637526,121145546,15971696,163147,82703,15972270,1696733,4753326,12.19,152891,713472,2531439,99.04,16.56,381626389,39144729675,39526356064,978.61,100379.72,0,0,2997214,87511,13819229,3084725,2.84,97.16,2997214,1402199,815201,2217400,26563,16977,43540,26561190,20064171,2260940,1.93,98.07,0,0,339,829,0,48181,0,152818,5214614,131051,5345665,2.45,97.55,1.48,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,131106,16669,147775,6046736,793196,6839932,46.12,47.59,0,47846073,34697820,0,0,0,3899665.1,82543893,86443558.1,5.3201,0.00532,427837.4089,55.35,40.14,0,0,0,4.51
