Workload,Instructions,Cycles,IPC,Execution_Time_s,L1I_Hits,L1I_Misses,L1I_Miss_Rate_%,L1D_Hits,L1D_Misses,L1D_Miss_Rate_%,L1_Hits,L1_Misses,L1_Miss_Rate_%,L2_Hits,L2_Misses,L2_Miss_Rate_%,L3_Hits,L3_Misses,L3_Miss_Rate_%,L1_MPKI,L2_MPKI,L3_MPKI,LFMR,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Perf_Power_Ratio_IPC_per_mW
linear_pim_full,5262593980,4108822847,1.2808,1.71201,155202752,14917379,8.77,92896439,7179915,7.17,92896439,7179915,7.17,0,0,0.0,0,0,0.0,1.36,0.0,0.0,0.0,2820314787.0,1630383780.0,0.0,0.0,0.0,410882284.7,4450698567.0,4861580851.7,2.8397,451035.8993
mlworkloads_linear_client_host,5262591881,3418436571,1.5395,1.424349,252503745,11410021,4.32,92907143,7178783,7.17,92907143,7178783,7.17,12824856,5222799,28.94,5393207,370741,6.43,1.36,0.99,0.07,0.0516,4164086868.0,1630506984.0,1075663683.0,5802471479.0,741482.0,341843657.1,12672729014.0,13015314153.1,9.1377,168474.3519
mlworkloads_linear_client_pim_compute,5262599058,4108754321,1.2808,1.711981,155202702,14917574,8.77,92896477,7180213,7.17,92896477,7180213,7.17,0,0,0.0,0,0,0.0,1.36,0.0,0.0,0.0,2820320472.0,1630394184.0,0.0,0.0,0.0,410875432.1,4450714656.0,4861590088.1,2.8397,451035.4776
mlworkloads_linear_client_pim_data,5262598479,4108884786,1.2808,1.712035,155203226,14917533,8.77,92896385,7180280,7.17,92896385,7180280,7.17,0,0,0.0,0,0,0.0,1.36,0.0,0.0,0.0,2820326979.0,1630395015.0,0.0,0.0,0.0,410888478.6,4450721994.0,4861610472.6,2.8397,451033.5369
mlworkloads_linear_client_pim_network,3510427471,2796453937,1.2553,1.165189,73453803,10429979,12.43,49405875,6599035,11.78,49405875,6599035,11.78,0,0,0.0,0,0,0.0,1.88,0.0,0.0,0.0,1445996352.0,958856280.0,0.0,0.0,0.0,279645393.7,2404852632.0,2684498025.7,2.3039,544860.9382
