Metric,Value,Description
ramulator.active_cycles_16_0,3913866,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,1966434,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,1958018,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,3969164,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,1994228,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,1986045,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,3953166,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,1979401,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,1983488,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,3928732,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,1979843,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,1958289,Total active cycles for level _16_3_1
ramulator.active_cycles_17,15466040,Total active cycles for level _17
ramulator.active_cycles_17_0,3913609,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,1959196,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,1965004,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,3953263,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,1979331,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,1982420,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,3957513,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,1987995,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,1978539,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,3927499,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,1971610,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,1964726,Total active cycles for level _17_3_1
ramulator.active_cycles_18,15464486,Total active cycles for level _18
ramulator.active_cycles_18_0,3922077,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,1971848,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,1960539,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,3960706,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,1989255,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,1981818,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,3940994,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,1975886,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,1975615,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,3921469,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,1978726,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,1953231,Total active cycles for level _18_3_1
ramulator.active_cycles_19,15565639,Total active cycles for level _19
ramulator.active_cycles_19_0,3938549,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,1972403,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,1977033,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,3975368,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,1999696,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,1986067,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,3978953,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,1999021,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,1990163,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,3966566,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,2001654,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,1977162,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,3898943,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,1952571,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,1955510,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,3940380,Total active cycles for level _1_1
