Metric,Value,Description
ramulator.active_cycles_16_0,7543025,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,3389652,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,4355340,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,8411499,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,5310838,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,3320662,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,8514202,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,5263774,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,3488079,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,9813585,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,4370242,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,5846374,Total active cycles for level _16_3_1
ramulator.active_cycles_17,576199130,Total active cycles for level _17
ramulator.active_cycles_17_0,12980217,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,4844224,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,8307391,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,190441198,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,96923129,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,93710310,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,7407494,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,3396482,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,4202469,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,369970926,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,6822785,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,363324127,Total active cycles for level _17_3_1
ramulator.active_cycles_18,35793207,Total active cycles for level _18
ramulator.active_cycles_18_0,11390452,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,4749386,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,6860428,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,9312313,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,5506237,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,4036629,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,9050354,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,5647600,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,3644065,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,11100804,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,5199458,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,6113150,Total active cycles for level _18_3_1
ramulator.active_cycles_19,32135537,Total active cycles for level _19
ramulator.active_cycles_19_0,10114093,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,4919504,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,5421349,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,9062506,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,5284328,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,4023753,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,7578347,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,4244624,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,3643140,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,10477231,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,4106884,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,6594577,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,8825858,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,4218277,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,4770635,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,10822651,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,5441082,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,5587385,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,8571846,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,3169438,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,5600054,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,6567707,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,3621106,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,3122401,Total active cycles for level _1_3_1
ramulator.active_cycles_2,31413422,Total active cycles for level _2
ramulator.active_cycles_20,33178987,Total active cycles for level _20
ramulator.active_cycles_20_0,12016141,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,7712322,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,4535344,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,9081206,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,4747293,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,4583903,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,6692742,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,3336412,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,3603373,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,10595957,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,5799774,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,5032723,Total active cycles for level _20_3_1
ramulator.active_cycles_21,26509547,Total active cycles for level _21
ramulator.active_cycles_21_0,9806126,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,5795174,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,4223954,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,6238108,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,3239961,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,3223694,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,8638143,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,3348888,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,5530645,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,6836182,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,3245454,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,3796275,Total active cycles for level _21_3_1
ramulator.active_cycles_22,21889266,Total active cycles for level _22
ramulator.active_cycles_22_0,7237592,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,3624983,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,3822687,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,6162568,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,3209983,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,3188122,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,6393448,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,3354116,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,3271558,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,7116525,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,4290173,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,3051520,Total active cycles for level _22_3_1
ramulator.active_cycles_23,19023474,Total active cycles for level _23
ramulator.active_cycles_23_0,5954934,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,3189375,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2960899,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,5985859,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,3111510,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,3095995,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,5977401,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,3089869,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,3104017,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,5815853,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,3068571,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2944984,Total active cycles for level _23_3_1
ramulator.active_cycles_24,18806189,Total active cycles for level _24
ramulator.active_cycles_24_0,5935967,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,3216320,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2920962,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,5958377,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,3128716,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,3058482,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,5971212,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,3067155,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,3128059,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,5826664,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,3039977,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,2994026,Total active cycles for level _24_3_1
ramulator.active_cycles_25,32954745,Total active cycles for level _25
ramulator.active_cycles_25_0,8878146,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,4814173,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,4269086,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,9640132,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,6690382,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,3175598,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,8757763,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,5619725,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,3362241,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,10550867,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,6172811,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,4598439,Total active cycles for level _25_3_1
ramulator.active_cycles_26,21166608,Total active cycles for level _26
ramulator.active_cycles_26_0,5827150,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,3102880,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,2921668,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,6638319,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,3813625,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,3051681,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,6958804,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,3817294,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,3361616,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,6500921,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,3747682,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,2955224,Total active cycles for level _26_3_1
ramulator.active_cycles_27,18942789,Total active cycles for level _27
ramulator.active_cycles_27_0,5910627,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,3174211,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,2933701,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,6005113,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,3169678,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,3062557,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,6018798,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,3125778,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,3117638,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,5812951,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,3095506,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,2921847,Total active cycles for level _27_3_1
ramulator.active_cycles_28,23242150,Total active cycles for level _28
ramulator.active_cycles_28_0,7054672,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,4274548,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,2979564,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,7288651,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,3578606,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,3933463,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,6239529,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,3122564,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,3331612,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,7449715,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,3845256,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,3800266,Total active cycles for level _28_3_1
ramulator.active_cycles_29,28274330,Total active cycles for level _29
ramulator.active_cycles_29_0,9080039,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,4197173,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,5087871,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,7040766,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,3413629,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,3849886,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,9964776,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,4161899,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,6043121,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,7674575,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,4584189,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,3698908,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,9359392,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,3186177,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,6368834,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,10478701,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,5094013,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,5860291,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,9573698,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,4072782,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,5741898,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,7756953,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,4698081,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,3273867,Total active cycles for level _2_3_1
ramulator.active_cycles_3,31430093,Total active cycles for level _3
ramulator.active_cycles_30,20545275,Total active cycles for level _30
ramulator.active_cycles_30_0,6481946,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,3334136,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,3353819,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,6334564,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,3309526,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,3246731,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,6531973,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,3373736,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,3373928,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,6033474,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,3293239,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,2942166,Total active cycles for level _30_3_1
ramulator.active_cycles_31,23759892,Total active cycles for level _31
ramulator.active_cycles_31_0,8479265,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,4854455,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,3821619,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,6886217,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,4036237,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,3072752,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,7345075,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,3608809,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,3953078,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,5886100,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,3154924,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,2928587,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,8642174,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,3191022,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,5662881,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,12005990,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,6125063,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,6425833,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,9207276,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,3316732,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,6165115,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,7153354,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,4112915,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,3277357,Total active cycles for level _3_3_1
ramulator.active_cycles_4,41046718,Total active cycles for level _4
ramulator.active_cycles_4_0,11268048,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,3475948,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,8008237,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,16622391,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,6053183,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,10997235,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,9232798,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,4045783,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,5438851,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,10258440,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,5646317,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,4879201,Total active cycles for level _4_3_1
ramulator.active_cycles_5,36690412,Total active cycles for level _5
ramulator.active_cycles_5_0,10431404,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,3173728,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,7458159,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,13506406,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,4666478,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,9120370,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,10210228,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,5451337,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,4990961,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,8104943,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,3256683,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,5092736,Total active cycles for level _5_3_1
ramulator.active_cycles_6,32166526,Total active cycles for level _6
ramulator.active_cycles_6_0,11237115,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,4774539,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,6689091,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,10361082,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,4927140,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,5650974,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,7206752,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3349275,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,4087202,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,8980095,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,3515219,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,5703892,Total active cycles for level _6_3_1
ramulator.active_cycles_7,27233108,Total active cycles for level _7
ramulator.active_cycles_7_0,9068871,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,2967685,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,6302315,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,7376463,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,3997067,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,3585840,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,8465341,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,3270733,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,5407592,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,7149578,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,3145282,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,4215110,Total active cycles for level _7_3_1
ramulator.active_cycles_8,21720592,Total active cycles for level _8
ramulator.active_cycles_8_0,7561017,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,3520467,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,4241950,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,6052184,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,3175413,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,3086406,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,6457117,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,3057527,Total active cycles for level _8_2_0
