Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
kmeans_client_host,4416724362,2394720071,1.8444,0.460523,460523.09,1218408211421,6573293462,788049166,2849998,1500000,788050870,165383236,2023905,0.08,987802,4711336,17026466,99.87,17.24,3558529523,2765825964,6324355487,148.6,115.5,0,0,166760879,13705931,622961118,180466810,7.59,92.41,166760879,22751998,11868818,34620816,371032,50487,421519,1477159528,1269289390,35042335,1.2,98.8,0,0,176647,175577,0,21055472,0,2252160,201381695,14127450,215509145,6.56,93.44,3.2,13812505,6672,13819177,264458,40510,178500,483468,14302645,3.38,96.62,0.11,13861381,85739,187638,199344,0,17192054,0,27724697,259936,191306,451242,4522,27704,0,32226,483468,6.67,93.33,0.01,41069,29682,0,0,0,32226,0,15502,0.0023,32219,0,32219,2811369,0,2811369,87.26,0.0,0,2953708908.0,533222367.0,680644666.0,487781994.0,64438.0,239472007.1,4655357935.0,4894894380.1,10.629,0.010629,173521.6337,60.34,10.89,13.91,9.97,0.0,4.89
kmeans_client_pim_compute,4416367380,1880401291,2.3486,0.361616,361615.63,1456122679515,6572816822,788089729,2849998,1500000,788091441,165383323,470582563,25.03,973289,4731826,17027213,99.88,17.49,3662247953,2865735410,6527983363,194.76,152.4,0,0,172282925,10145625,621060435,182428550,5.56,94.44,172282925,22756695,11871500,34628195,363969,51546,415515,1476882297,1269172055,35043710,1.19,98.81,0,0,171648,172482,0,1960943,0,1598685,206911120,10561140,217472260,4.86,95.14,2.39,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,10729816,85611,10815427,482437412,3841037,486278449,44.96,44.87,0,2919049500.0,533134920.0,0.0,0.0,21630854.0,188040129.1,3452184420.0,3661855403.1,10.1264,0.010126,231931.9923,79.72,14.56,0.0,0.0,0.59,5.14
kmeans_client_pim_data_loading,4416710044,1879178996,2.3503,0.361381,361380.58,1833878514564,6573273349,788050152,2849998,1500000,788051858,165383224,470496999,25.04,997177,4851217,17504394,99.87,17.55,8697173833,7273576050,15970749883,462.82,387.06,0,0,172325683,10145726,621097297,182471409,5.56,94.44,172325683,22311576,11385003,33696579,320029,50736,370765,1477639993,1269819209,34067344,1.09,98.91,0,0,126065,128470,0,1512891,0,1551832,206022262,10516491,216538753,4.86,95.14,2.38,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,10640365,85740,10726105,482258064,3838665,486096729,45.32,44.77,0,2919694203.0,517683930.0,0.0,0.0,21452210.0,187917899.6,3437378133.0,3646748242.6,10.0912,0.010091,232910.8728,80.06,14.2,0.0,0.0,0.59,5.15
kmeans_client_pim_full,4416404037,1564039524,2.8237,0.300777,300776.83,1443255545084,6572866608,788085283,2849998,1500000,788086986,165383282,470155702,30.06,980491,4767762,17170293,99.88,17.51,11209431604,9456073761,20665505365,716.7,604.59,0,0,172307956,10145762,621066767,182453718,5.56,94.44,172307956,22764341,11880504,34644845,347597,50705,398302,1476921237,1269193544,35043147,1.14,98.86,0,0,153902,156237,0,1790790,0,1580338,206952801,10544064,217496865,4.85,95.15,2.39,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,10695773,85498,10781271,481980631,3831230,485811861,45.06,44.81,0,2919429486.0,532816641.0,0.0,0.0,21562542.0,156403952.4,3452246127.0,3630212621.4,12.0695,0.012069,233955.5715,80.42,14.68,0.0,0.0,0.59,4.31
kmeans_client_pim_network,4416405049,1880341950,2.3487,0.361604,361604.22,1443715641549,6572865819,788085046,2849998,1500000,788086755,165383323,470048667,25.0,976987,4750348,17101407,99.88,17.5,11535633313,9691616992,21227250305,613.49,515.42,0,0,172287672,10145558,621069527,182433230,5.56,94.44,172287672,22765466,11881776,34647242,346684,50828,397512,1476920272,1269193143,35044754,1.13,98.87,0,0,152762,155094,0,1779740,0,1579214,206934914,10543070,217477984,4.85,95.15,2.39,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,10693680,85729,10779409,481865258,3844345,485709603,45.06,44.84,0,2919118494.0,532826526.0,0.0,0.0,21558818.0,188034195.0,3451945020.0,3661538033.0,10.1258,0.010126,231954.0738,79.72,14.55,0.0,0.0,0.59,5.14
