Metric,Value,Description
ramulator.active_cycles_16_0,11208877,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,5585743,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,5635044,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,12181042,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,8280328,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,3918418,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,7495759,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,3670598,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,3839093,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,12141373,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,6315009,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,5836637,Total active cycles for level _16_3_1
ramulator.active_cycles_17,49150486,Total active cycles for level _17
ramulator.active_cycles_17_0,14380991,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,5047495,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,9351230,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,12176253,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,8428769,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,3766910,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,10070167,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,4841076,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,5244088,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,13256691,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,4147041,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,9124061,Total active cycles for level _17_3_1
ramulator.active_cycles_18,52035278,Total active cycles for level _18
ramulator.active_cycles_18_0,15930313,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,8331788,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,7620773,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,11925282,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,8154081,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,3796712,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,11385517,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,6205185,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,5201121,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,13645978,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,4840506,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,8824766,Total active cycles for level _18_3_1
ramulator.active_cycles_19,37858358,Total active cycles for level _19
ramulator.active_cycles_19_0,11071396,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,5409547,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,5676851,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,9403256,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,5617031,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,3808301,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,7342472,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,3774687,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,3583396,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,10918787,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,4823657,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,6106508,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,10163683,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,5424396,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,4752982,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,9317592,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,4975664,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,4360314,Total active cycles for level _1_1_1
