Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
adaboost_data_loading_zsim_pim,55038446087,39787636147,1.3833,7.651468,7651468.49,16880945689008,82302986445,10523244658,31508062,2354558,10523371828,2091405689,1440352518,3.62,61896167,304152365,1183053536,99.41,19.11,36177888418,1970343143187291,1970379321075709,90.93,4952149.3,0,0,1318341348,9443698,9540981755,1327785046,0.71,99.29,1318341348,195867328,91408052,287275380,25268355,1759196,27027551,18741691522,15706904986,314302931,8.6,91.4,0,0,0,0,0,27027551,0,0,1605616728,36471249,1642087977,2.22,97.78,0.66,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,36470852,3170668,39641520,1589749225,136396729,1726145954,43.59,43.02,0,20086762254.0,5201039883.0,0.0,0.0,79283040.0,3978763614.7,25287802137.0,29345848791.7,3.8353,0.003835,360675.0866,68.45,17.72,0.0,0.0,0.27,13.56
adaboost_host_moore_zsim,55029668112,38839688466,1.4168,7.469171,7469170.86,31580431475059,82290757799,10521822381,31386943,2261498,10521949551,2091325039,408889603,1.05,61738280,302696121,1178919562,99.41,19.1,36223549501,3377715733126170,3377751956675671,93.26,8696557.22,0,0,2506053254,4017277,8355819353,2510070531,0.16,99.84,2506053254,188410586,95262869,283673455,25309449,1753932,27063381,18745737147,15700427588,310736836,8.71,91.29,0,0,0,0,0,339307204,0,0,2789726709,31080658,2820807367,1.1,98.9,0.56,24981883,723904,25705787,4344843,1030028,0,5374871,31080658,17.29,82.71,0.1,27913080,3166554,0,0,0,150174370,0,8022894,319348,2670,322018,4025495,1027358,0,5052853,5374871,94.01,5.99,0.09,4287171,1071316,0,0,0,5052853,0,11928,0.1626,5052841,1046341,6099182,437843954,74497900,512341854,86.65,71.2,0,37723368951.0,5148193398.0,1682329205.0,9924939122.0,12198364.0,3883968846.6,54478830676.0,58374997886.6,7.8155,0.007815,181287.0041,64.62,8.82,2.88,17.0,0.02,6.65
adaboost_pim_compute_zsim,55043930019,39646073947,1.3884,7.624245,7624244.99,25913186598901,82311733942,10524372964,31511195,2354559,10524500134,2091578832,1265468875,3.19,61971122,304535585,1184232850,99.41,19.11,36195688458,1970343146099154,1970379341787612,91.3,4969831.69,0,0,1298809423,4893336,9566576081,1303702759,0.38,99.62,1298809423,188483725,94520608,283004333,25281429,1754997,27036426,18750850902,15705530733,310040759,8.72,91.28,0,0,0,0,0,27036426,0,0,1581813756,31929762,1613743518,1.98,98.02,0.58,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,31929400,3173767,35103167,1390247120,135329912,1525577032,43.54,42.64,0,19643621433.0,5137267053.0,0.0,0.0,70206334.0,3964607394.7,24780888486.0,28815702214.7,3.7795,0.003779,367347.3261,68.17,17.83,0.0,0.0,0.24,13.76
adaboost_pim_full_real_ryzen_zsim,55033756156,39767094610,1.3839,7.647518,7647518.19,16877801880745,82296108062,10522490328,31381159,2261501,10522617498,2091276427,1422894034,3.58,61878993,304046085,1182662621,99.41,19.11,36177034250,1970343147566549,1970379324600799,90.97,4954707.32,0,0,1343430974,9114529,9515363454,1352545503,0.67,99.33,1343430974,197082985,91898014,288980999,25325745,1749465,27075210,18739017988,15705008096,316056209,8.57,91.43,0,0,0,0,0,27075210,0,0,1632411973,36189739,1668601712,2.17,97.83,0.66,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,36189413,3179055,39368468,1569559004,128901425,1698460429,43.37,40.55,0,20452244067.0,5228196915.0,0.0,0.0,78736936.0,3976709461.0,25680440982.0,29735887379.0,3.8883,0.003888,355913.8663,68.78,17.58,0.0,0.0,0.26,13.37
adaboost_zsim_pim_network,54980506355,39767185244,1.3826,7.647536,7647535.62,16912174971550,82214979005,10512176158,31338388,2261499,10512303328,2088825836,1422586278,3.58,62058185,304911112,1185853803,99.41,19.11,36121791426,21299615871,57421407297,90.83,53.56,0,0,1338188448,8927146,9511342747,1347115594,0.66,99.34,1338188448,187386845,94631785,282018630,25275897,1753719,27029616,18730526594,15686527388,309048246,8.75,91.25,0,0,0,0,0,27029616,0,0,1620207078,35956762,1656163840,2.17,97.83,0.65,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,35956375,3181462,39137837,1560481723,135823105,1696304828,43.4,42.69,0,20367422538.0,5122256778.0,0.0,0.0,78275674.0,3976718524.4,25489679316.0,29544673514.4,3.8633,0.003863,357870.7442,68.94,17.34,0.0,0.0,0.26,13.46
