Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
kernel_client_pim_compute.zsim,1042849542,704385788,1.4805,0.293494,293494.08,300731543059,1505570182,143532994,4047148,2066540,143533095,20612130,92668756,13.16,142904,680376,2543997,99.9,17.8,711851083,563607758,1275458841,101.06,80.01,0,0,5775212,1812508,140902273,7587720,23.89,76.11,5775212,7499866,2337341,9837207,533903,5003,538906,385291899,294016088,10376113,5.19,94.81,0,0,0,0,0,538906,0,0,15612419,2351414,17963833,13.09,86.91,2.25,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,2351197,8222,2359419,100437739,410223,100847962,42.72,49.89,0,146440944.0,165342003.0,0.0,0.0,0.0,70438578.8,311782947.0,382221525.8,1.3023,0.001302,1136829.3337,38.31,43.26,0.0,0.0,0.0,18.43
kernel_pim_data_updated.zsim,1042849944,705798197,1.4775,0.294083,294082.58,301192119524,1505570777,143533051,4047152,2066541,143533154,20612162,92866138,13.16,142920,680461,2544364,99.9,17.8,715569059,568264885,1283833944,101.38,80.51,0,0,5775207,1812501,140902437,7587708,23.89,76.11,5775207,7531851,2256745,9788596,533569,4950,538519,385260403,294096829,10327115,5.21,94.79,0,0,0,0,0,538519,0,0,15563803,2351020,17914823,13.12,86.88,2.25,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,2350803,8158,2358961,100600459,408984,101009443,42.79,50.13,0,146440638.0,164600067.0,0.0,0.0,0.0,70579819.7,311040705.0,381620524.7,1.2977,0.001298,1138620.1262,38.37,43.13,0.0,0.0,0.0,18.49
kernel_pim_full.zsim,1042851736,690845290,1.5095,0.287852,287852.2,471138373818,1505573514,143533279,4047202,2066594,143533386,20612304,77918724,11.28,142936,680349,2524715,99.9,17.66,715613755,13522978104,14238591859,103.59,1957.45,0,0,6793926,1372166,140324207,8166092,16.8,83.2,6793926,7531837,2256752,9788589,533571,4950,538521,385261158,294097280,10327110,5.21,94.79,0,0,0,0,0,538521,0,0,16582515,1910687,18493202,10.33,89.67,1.83,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,1910449,8158,1918607,81229750,413911,81643661,42.52,50.74,0,147190368.0,164600028.0,0.0,0.0,0.0,69084529.0,311790396.0,380874925.0,1.3232,0.001323,1140851.0462,38.65,43.22,0.0,0.0,0.0,18.14
kernel_pim_network.zsim,1042850350,689614479,1.5122,0.287339,287339.37,628597311740,1505571384,143533095,4047156,2066546,143533204,20612194,77906673,11.3,142912,680241,2524297,99.9,17.66,711904070,13518304373,14230208443,103.23,1960.27,0,0,6793856,1372181,140323946,8166037,16.8,83.2,6793856,7499881,2337350,9837231,533913,5003,538916,385292192,294016267,10376147,5.19,94.81,0,0,0,0,0,538916,0,0,16631087,1911097,18542184,10.31,89.69,1.83,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,1910859,8223,1919082,81228628,414879,81643507,42.51,50.45,0,147189813.0,165342693.0,0.0,0.0,0.0,68961447.9,312532506.0,381493953.9,1.3277,0.001328,1138998.3373,38.58,43.34,0.0,0.0,0.0,18.08
mlworkloads_kernel_client_kernel_client.zsim,1042849868,614647994,1.6967,0.256103,256103.33,583769032075,1505570698,143533051,4047167,2066570,143533156,20612153,500119,0.08,142919,674693,2498495,99.9,17.48,713988455,13520985982,14234974437,116.16,2199.79,0,0,17695538,380167,130408671,18075705,2.1,97.9,17695538,7531815,2256739,9788554,533581,4950,538531,385260418,294096836,10327085,5.21,94.79,0,0,0,0,0,3915961,0,0,27484092,918698,28402790,3.23,96.77,0.88,910256,780,911036,3492,4170,0,7662,918698,0.83,99.17,0.01,909515,8159,0,0,0,214536,0,757383,0,0,0,3492,4170,0,7662,7662,100.0,0.0,0.01,1,0,0,0,0,7662,0,1,0.0083,7658,0,7658,702049,0,702049,91.68,0.0,0,277978581.0,164599833.0,42620222.0,14588448.0,15324.0,61464799.4,499787084.0,561267207.4,2.1916,0.002192,774178.0966,49.53,29.33,7.59,2.6,0.0,10.95
