Workload,Instructions,Cycles,IPC,Execution_Time_s,L1I_Hits,L1I_Misses,L1I_Miss_Rate_%,L1D_Hits,L1D_Misses,L1D_Miss_Rate_%,L1_Hits,L1_Misses,L1_Miss_Rate_%,L2_Hits,L2_Misses,L2_Miss_Rate_%,L3_Hits,L3_Misses,L3_Miss_Rate_%,L1_MPKI,L2_MPKI,L3_MPKI,LFMR,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Perf_Power_Ratio_IPC_per_mW
kernel_client_pim_compute.zsim,1042849542,704385788,1.4805,0.293494,5775212,1812508,23.89,9837207,538906,5.19,9837207,538906,5.19,0,0,0.0,0,0,0.0,0.52,0.0,0.0,0.0,146440944.0,165342003.0,0.0,0.0,0.0,70438578.8,311782947.0,382221525.8,1.3023,1136829.3337
kernel_pim_data_updated.zsim,1042849944,705798197,1.4775,0.294083,5775207,1812501,23.89,9788596,538519,5.21,9788596,538519,5.21,0,0,0.0,0,0,0.0,0.52,0.0,0.0,0.0,146440638.0,164600067.0,0.0,0.0,0.0,70579819.7,311040705.0,381620524.7,1.2977,1138620.1262
kernel_pim_full.zsim,1042851736,690845290,1.5095,0.287852,6793926,1372166,16.8,9788589,538521,5.21,9788589,538521,5.21,0,0,0.0,0,0,0.0,0.52,0.0,0.0,0.0,147190368.0,164600028.0,0.0,0.0,0.0,69084529.0,311790396.0,380874925.0,1.3232,1140851.0462
kernel_pim_network.zsim,1042850350,689614479,1.5122,0.287339,6793856,1372181,16.8,9837231,538916,5.19,9837231,538916,5.19,0,0,0.0,0,0,0.0,0.52,0.0,0.0,0.0,147189813.0,165342693.0,0.0,0.0,0.0,68961447.9,312532506.0,381493953.9,1.3277,1138998.3373
mlworkloads_kernel_client_kernel_client.zsim,1042849868,614647994,1.6967,0.256103,17695538,380167,2.1,9788554,538531,5.21,9788554,538531,5.21,911036,3492,0.38,0,7662,100.0,0.52,0.0,0.01,0.0142,277978581.0,164599833.0,42232412.0,14588448.0,15324.0,61464799.4,499399274.0,560879397.4,2.1901,774713.3882
