Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
logistic_client_host.txt,60524566595,43313605544,1.3974,18.047336,18047335.64,18855232051477,90263592995,9907272858,191551034,165427047,9908627067,2356135872,1707930784,3.94,16280855,75000713,271513837,99.84,16.68,36630535106,422240899152011,422277529687117,84.57,974845.88,0,0,1204957930,8068891,8936782017,1213026821,0.67,99.33,1204957930,326696491,114197481,440893972,26139174,1036669,27175843,20895537300,17744546635,468069815,5.81,94.19,0,0,0,0,0,834943767,0,0,1645851902,35244734,1681096636,2.1,97.9,0.58,12037338,42254,12079592,22170727,994415,0,23165142,35244734,65.73,34.27,0.38,33803033,1440677,0,0,0,645457824,0,16110629,3165750,402,3166152,19004977,994013,0,19998990,23165142,86.33,13.67,0.33,21761221,1387537,0,0,0,19998990,0,26957,0.5674,19998971,1382284,21381255,1760842898,96141213,1856984111,88.05,69.55,0,18340642353.0,7510212399.0,2710019438.0,41070090600.0,39997980.0,4331360554.4,69630964790.0,74002323324.4,4.1005,0.0041,340780.7793,24.78,10.15,3.66,55.5,0.05,5.85
logistic_pim_full,60524938026,43056734257,1.4057,17.940306,17940305.94,17949652873876,90263945593,9907296022,191550646,165426842,9908647719,2356143801,1472525776,3.42,16255640,76060970,271201538,99.84,16.68,36813918757,281504165115537,281540979034294,85.5,653798.23,0,0,1179513780,7127906,8964250326,1186641686,0.6,99.4,1179513780,334181190,106501524,440682714,26143749,1033264,27177013,20888042737,17752235059,467859727,5.81,94.19,0,0,0,0,0,27177013,0,0,1620196494,34304919,1654501413,2.07,97.93,0.57,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,34304594,1438613,35743207,1642798045,61624898,1704422943,47.89,42.84,0,17927927598.0,7507082139.0,0.0,0.0,0.0,4305673425.7,25435009737.0,29740683162.7,1.6578,0.001658,847953.7622,60.28,25.24,0.0,0.0,0.0,14.48
pim_full_compute_logistic,60524538483,43025649982,1.4067,17.927354,17927354.16,17940095152645,90263561871,9907266670,191550970,165427029,9908622624,2356135869,1475101854,3.43,16283760,76218228,271794547,99.84,16.69,36817179208,281504110659127,281540927838335,85.57,654270.44,0,0,1194547210,7147752,8949326302,1201694962,0.59,99.41,1194547210,380999183,126953457,507952640,26169255,1032496,27201751,20841194898,17731793055,535154391,5.08,94.92,0,0,0,0,0,27201751,0,0,1702499850,34349503,1736849353,1.98,98.02,0.57,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,34349199,1436791,35785990,1643895508,61237029,1705132537,47.86,42.62,0,18154083966.0,8516947383.0,0.0,0.0,0.0,4302564998.2,26671031349.0,30973596347.2,1.7277,0.001728,814195.3365,58.61,27.5,0.0,0.0,0.0,13.89
pim_full_data_logistic,60524558319,43038512293,1.4063,17.932713,17932713.46,17947415749763,90263581112,9907279738,191551496,165427257,9908630845,2356135847,1475334752,3.43,16277356,76185958,271664329,99.84,16.69,36811770157,281504067437099,281540879207256,85.53,654074.81,0,0,1194541142,7148131,8949307378,1201689273,0.59,99.41,1194541142,354920929,118867379,473788308,26178093,1033523,27211616,20867259763,17739878391,500999924,5.43,94.57,0,0,0,0,0,27211616,0,0,1668329450,34359747,1702689197,2.02,97.98,0.57,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,34359503,1437328,35796831,1644186832,60568921,1704755753,47.85,42.14,0,18154005453.0,8004807948.0,0.0,0.0,0.0,4303851229.3,26158813401.0,30462664630.3,1.6987,0.001699,827851.6102,59.59,26.28,0.0,0.0,0.0,14.13
pim_full_network_logistic,60524578669,43025723915,1.4067,17.927385,17927384.96,17948902151789,90263605674,9907276641,191551291,165427172,9908630014,2356135728,1475106801,3.43,16280115,76199932,271720885,99.84,16.69,36817071753,281504110664417,281540927736170,85.57,654269.32,0,0,1194542884,7147635,8949320482,1201690519,0.59,99.41,1194542884,380993558,126954482,507948040,26170999,1032510,27203509,20841209950,17731794543,535151549,5.08,94.92,0,0,0,0,0,27203509,0,0,1702490924,34351144,1736842068,1.98,98.02,0.57,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0,0,0,0,0,0,0,0,0.0,34350818,1436904,35787722,1644105321,61154569,1705259890,47.86,42.56,0,18154015215.0,8516936397.0,0.0,0.0,0.0,4302572391.5,26670951612.0,30973524003.5,1.7277,0.001728,814197.7788,58.61,27.5,0.0,0.0,0.0,13.89
