Workload,Instructions,Cycles,IPC,Execution_Time_s,L1I_Hits,L1I_Misses,L1I_Miss_Rate_%,L1D_Hits,L1D_Misses,L1D_Miss_Rate_%,L1_Hits,L1_Misses,L1_Miss_Rate_%,L2_Hits,L2_Misses,L2_Miss_Rate_%,L3_Hits,L3_Misses,L3_Miss_Rate_%,L1_MPKI,L2_MPKI,L3_MPKI,LFMR,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Perf_Power_Ratio_IPC_per_mW
logistic_client_HOST_full,1000000757,630864004,1.5851,0.26286,65508701,4338145,6.21,33503258,88007,0.26,33503258,88007,0.26,4368816,5485,0.13,3376,53960,94.11,0.09,0.01,0.05,0.6131,1125789300.0,505453101.0,201475641.0,105930160.0,107920.0,63086400.4,1938648202.0,2001842522.4,7.6156,208141.7381
logistic_client_pim_compute,6596823975,4586855190,1.4382,1.91119,302353184,7512833,2.42,115877702,4227404,3.52,115877702,4227404,3.52,0,0,0.0,0,0,0.0,0.64,0.0,0.0,0.0,4783221249.0,1877669862.0,0.0,0.0,0.0,458685519.0,6660891111.0,7119576630.0,3.7252,386073.0489
logistic_client_pim_data_loading,12017116156,8205663846,1.4645,3.419027,579953306,12679170,2.14,257981624,5146117,1.96,257981624,5146117,1.96,0,0,0.0,0,0,0.0,0.43,0.0,0.0,0.0,9117712200.0,4039546221.0,0.0,0.0,0.0,820566384.6,13157258421.0,13977824805.6,4.0882,358219.6659
logistic_client_pim_network_offload,1000009585,660930047,1.513,0.275388,68378376,1225284,1.76,33503552,88007,0.26,33503552,88007,0.26,0,0,0.0,0,0,0.0,0.09,0.0,0.0,0.0,1066110012.0,505457511.0,0.0,0.0,0.0,66093004.7,1571567523.0,1637660527.7,5.9467,254430.4228
