Metric,Value,Description
ramulator.active_cycles_16_1,25989,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,11194,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,14955,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,28374,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,12988,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,15506,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,17041,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,9068,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,8013,Total active cycles for level _16_3_1
ramulator.active_cycles_17,92022,Total active cycles for level _17
ramulator.active_cycles_17_0,27338,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,17867,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,9752,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,25955,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,13503,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,12781,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,25196,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,12487,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,12833,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,17795,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,7435,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,10421,Total active cycles for level _17_3_1
ramulator.active_cycles_18,117892,Total active cycles for level _18
ramulator.active_cycles_18_0,33217,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,23440,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,9908,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,35509,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,15693,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,19990,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,23915,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,15212,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,8841,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,29702,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,14112,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,15747,Total active cycles for level _18_3_1
ramulator.active_cycles_19,210103,Total active cycles for level _19
ramulator.active_cycles_19_0,45846,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,26249,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,19657,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,76546,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,44225,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,32558,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,48497,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,24190,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,24417,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,43583,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,17135,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,26548,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,34961,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,21143,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,13878,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,77793,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,56367,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,21638,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,149106,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,60104,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,89210,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,62917,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,22250,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,40928,Total active cycles for level _1_3_1
ramulator.active_cycles_2,246768,Total active cycles for level _2
ramulator.active_cycles_20,221607,Total active cycles for level _20
ramulator.active_cycles_20_0,31000,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,22769,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,8414,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,71956,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,35290,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,36706,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,78708,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,21196,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,57727,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,44790,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,9253,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,35675,Total active cycles for level _20_3_1
ramulator.active_cycles_21,292868,Total active cycles for level _21
