Metric,Value,Description
ramulator.active_cycles_16_1,26154,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,10937,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,15417,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,27787,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,12652,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,15255,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,17316,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,9099,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,8257,Total active cycles for level _16_3_1
ramulator.active_cycles_17,92266,Total active cycles for level _17
ramulator.active_cycles_17_0,27034,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,17796,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,9501,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,26252,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,13574,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,13022,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,25254,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,12472,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,12862,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,17993,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,7416,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,10638,Total active cycles for level _17_3_1
ramulator.active_cycles_18,117348,Total active cycles for level _18
ramulator.active_cycles_18_0,33045,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,23492,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,9684,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,35359,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,15414,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,20134,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,24105,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,15317,Total active cycles for level _18_2_0
