Workload,Instructions,Cycles,IPC,Execution_Time_s,Execution_Time_us,Weave_Time,UOps,Branch_UOps,FP_Add_Sub_UOps,FP_Mul_Div_UOps,Basic_Blocks,Approx_Instrs,Contention_Cycles,Contention_%,Mispred_Branches,Mispred_Instrs,Mispred_Penalty,Branch_Pred_Accuracy_%,Avg_Mispred_Penalty,Load_Stalls,Store_Stalls,Total_Stalls,Load_Stall_%,Store_Stall_%,Spatial_Locality,Temporal_Locality,L1I_Hits,L1I_Misses,L1I_Filtered_Hits,L1I_Total_Accesses,L1I_Miss_Rate_%,L1I_Hit_Rate_%,L1I_Shared_Requests,L1D_GETS_Hits,L1D_GETX_Hits,L1D_Total_Hits,L1D_GETS_Misses,L1D_GETX_Misses,L1D_Total_Misses,L1D_Filtered_GETS,L1D_Filtered_GETX,L1D_Total_Accesses,L1D_Miss_Rate_%,L1D_Hit_Rate_%,L1D_PUTS,L1D_PUTX,L1D_INV,L1D_INVX,L1D_FWD,L1D_Lat_GetNL,L1D_Lat_GetNet,L1D_Shared_Requests,L1_Total_Hits,L1_Total_Misses,L1_Total_Accesses,L1_Miss_Rate_%,L1_Hit_Rate_%,L1_MPKI,L2_GETS_Hits,L2_GETX_Hits,L2_Total_Hits,L2_GETS_Misses,L2_GETX_IM_Misses,L2_GETX_SM_Misses,L2_Total_Misses,L2_Total_Accesses,L2_Miss_Rate_%,L2_Hit_Rate_%,L2_MPKI,L2_PUTS,L2_PUTX,L2_INV,L2_INVX,L2_FWD,L2_Lat_GetNL,L2_Lat_GetNet,L2_Shared_Requests,L3_GETS_Hits,L3_GETX_Hits,L3_Total_Hits,L3_GETS_Misses,L3_GETX_IM_Misses,L3_GETX_SM_Misses,L3_Total_Misses,L3_Total_Accesses,L3_Miss_Rate_%,L3_Hit_Rate_%,L3_MPKI,L3_PUTS,L3_PUTX,L3_INV,L3_INVX,L3_FWD,L3_Lat_GetNL,L3_Lat_GetNet,L3_Shared_Requests,LFMR,Mem_Read_Requests,Mem_Write_Requests,Mem_Total_Requests,Mem_Read_Latency,Mem_Write_Latency,Mem_Total_Latency,Mem_Avg_Read_Latency,Mem_Avg_Write_Latency,Mem_Reissued_Accesses,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Average_Power_W,Perf_Power_Ratio_IPC_per_mW,L1I_Energy_%,L1D_Energy_%,L2_Energy_%,L3_Energy_%,Memory_Energy_%,CPU_Energy_%
adaboost_client_host,22632201540,6497090789,3.4834,2.707121,2707121.16,5900571591398,33502261420,3246143472,43348014,43548273,3246143764,742223343,937848,0.01,541212,2662253,10460190,99.98,19.33,13699418034,10924551450,24623969484,210.85,168.15,0,0,418514054,16383922,2882585447,434897976,3.77,96.23,418514054,51833113,59441236,111274349,39357,12480,51837,7876717891,6759890686,111326186,0.05,99.95,0,0,627,389,0,992996,0,2011221,529788403,16435759,546224162,3.01,96.99,0.73,16408009,437,16408446,15270,12040,109,27419,16435865,0.17,99.83,0,16419381,12240,2863,2851,0,798129,0,32768134,10736,2856,13592,4534,9293,0,13827,27419,50.43,49.57,0,0,0,0,0,0,13827,0,2710,0.0008,13827,0,13827,1173621,0,1173621,84.88,0,0,6818380236,1670825856,757338483,39171048,27654,649709078.9,9285715623,9935452356,3.6701,0.00367,949134.8393,68.63,16.82,7.62,0.39,0,6.54
adaboost_client_pim_data,20813011197,6727907123,3.0935,2.803295,2803294.63,5666072042690,30805658901,2986535504,39837777,40010316,2986536054,682250793,491584875,7.31,556115,2729491,10593871,99.98,19.05,12639348826,10077709715,22717058541,187.86,149.79,0,0,390479378,11022711,2650903624,401502089,2.75,97.25,390479378,47918756,54744886,102663642,38357,12689,51046,7241865441,6214242568,102714688,0.05,99.95,0,0,371,1045,0,56770,0,1616793,493143020,11073757,504216777,2.2,97.8,0.53,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11073791,12393,11086184,503827684,549704,504377388,45.5,44.36,0,6220940133,1541639148,0,0,0,672790712.3,7762579281,8435369993,3.0091,0.003009,1028062.552,73.75,18.28,0,0,0,7.98
adaboost_pim_client_full,20813011209,6721549459,3.0965,2.800646,2800645.61,8662590787522,30805658918,2986535524,39837777,40010316,2986536075,682250793,475972902,7.08,554663,2722299,10565388,99.98,19.05,12646932321,10081613084,22728545405,188.16,149.99,0,0,390609441,11197569,2650591532,401807010,2.79,97.21,390609441,47918625,54744864,102663489,38351,12691,51042,7241865577,6214242594,102714531,0.05,99.95,0,0,375,1046,0,56778,0,1616717,493272930,11248611,504521541,2.23,97.77,0.54,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11248689,12386,11261075,497636490,523459,498159949,44.24,42.26,0,6228661392,1541636721,0,0,0,672154945.9,7770298113,8442453059,3.0145,0.003014,1027200.026,73.78,18.26,0,0,0,7.96
adaboost_pim_compute,20813011255,6721547860,3.0965,2.800645,2800644.94,8668451479257,30805658964,2986535570,39837777,40010316,2986536121,682250793,475973231,7.08,554748,2722725,10567130,99.98,19.05,12642315361,10078258981,22720574342,188.09,149.94,0,0,390609448,11197570,2650591996,401807018,2.79,97.21,390609448,47918542,54744817,102663359,38355,12691,51046,7241865656,6214242640,102714405,0.05,99.95,0,0,379,1046,0,56787,0,1616735,493272807,11248616,504521423,2.23,97.77,0.54,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11248696,12387,11261083,497635290,521359,498156649,44.24,42.09,0,6228661530,1541634903,0,0,0,672154786,7770296433,8442451219,3.0145,0.003014,1027200.252,73.78,18.26,0,0,0,7.96
adaboost_pim_network,20813011272,6727853873,3.0936,2.803272,2803272.45,5668341683329,30805658976,2986535601,39837777,40010316,2986536151,682250792,491548705,7.31,556319,2730508,10597883,99.98,19.05,12639335046,10076952924,22716287970,187.87,149.78,0,0,390479405,11022689,2650904733,401502094,2.75,97.25,390479405,47918763,54744884,102663647,38359,12692,51051,7241865424,6214242566,102714698,0.05,99.95,0,0,376,1046,0,56796,0,1616881,493143052,11073740,504216792,2.2,97.8,0.53,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11073774,12392,11086166,503789225,540097,504329322,45.49,43.58,0,6220939812,1541639388,0,0,0,672785387.3,7762579200,8435364587,3.0091,0.003009,1028063.214,73.75,18.28,0,0,0,7.98
