Metric,Value,Description
ramulator.active_cycles_16_0,4385310,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,1151910,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,3240370,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,4369139,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,3215311,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,1160291,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,2746754,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,1245047,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,1509068,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,4218872,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,1066113,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,3158619,Total active cycles for level _16_3_1
ramulator.active_cycles_17,25172601,Total active cycles for level _17
ramulator.active_cycles_17_0,2287946,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,1142928,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,1156779,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,15653576,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,10835701,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,4829058,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,2309057,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,1169076,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,1148829,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,5423090,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,1060110,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,4374575,Total active cycles for level _17_3_1
ramulator.active_cycles_18,14658569,Total active cycles for level _18
ramulator.active_cycles_18_0,4346609,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,1138859,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,3219605,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,4347279,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,3212970,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,1145939,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,2276633,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,1158989,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,1127393,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,4170180,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,3122916,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,1059633,Total active cycles for level _18_3_1
ramulator.active_cycles_19,47308067,Total active cycles for level _19
ramulator.active_cycles_19_0,4368274,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,1142744,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,3236112,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,18819526,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,14169887,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,4660029,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,11326081,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,5749293,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,5586100,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,13274646,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,6696038,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,6590582,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,8665252,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,4481298,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,4195310,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,12033151,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,1145426,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,10898872,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,12028515,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,9157137,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,2880085,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,10045099,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,8994404,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,1061915,Total active cycles for level _1_3_1
ramulator.active_cycles_2,46373410,Total active cycles for level _2
ramulator.active_cycles_20,41513434,Total active cycles for level _20
ramulator.active_cycles_20_0,8791806,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,1154405,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,7647998,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,7917434,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,1166499,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,6760673,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,7679133,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,3222177,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,4475746,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,17659741,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,12012023,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,5657991,Total active cycles for level _20_3_1
ramulator.active_cycles_21,27959698,Total active cycles for level _21
ramulator.active_cycles_21_0,6290412,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,1144605,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,5158057,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,6955520,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,3744059,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,3223812,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,7175020,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,3113751,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,4071331,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,8021842,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,3801291,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,4233331,Total active cycles for level _21_3_1
ramulator.active_cycles_22,29842266,Total active cycles for level _22
ramulator.active_cycles_22_0,10622656,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,2237133,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,8396641,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,4367849,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,1179923,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,3199431,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,5174218,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,3582225,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,1601519,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,10176607,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,1500332,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,8687890,Total active cycles for level _22_3_1
ramulator.active_cycles_23,26313836,Total active cycles for level _23
ramulator.active_cycles_23_0,11093302,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,8802152,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2302295,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,5624782,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,4426067,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,1208924,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,7034631,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,3413727,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,3629743,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,3058595,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,1052339,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2016223,Total active cycles for level _23_3_1
ramulator.active_cycles_24,25948003,Total active cycles for level _24
ramulator.active_cycles_24_0,6195695,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,3971651,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2241597,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,6492586,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,3228338,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,3281545,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,6948740,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,4391131,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,2574701,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,6656686,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,3132554,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,3540393,Total active cycles for level _24_3_1
ramulator.active_cycles_25,29673390,Total active cycles for level _25
ramulator.active_cycles_25_0,5144811,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,3477945,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,1683355,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,5821942,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,2847813,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,2991497,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,8958468,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,3064417,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,5909622,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,10153458,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,6926905,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,3241468,Total active cycles for level _25_3_1
ramulator.active_cycles_26,24031512,Total active cycles for level _26
ramulator.active_cycles_26_0,4715686,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,2170200,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,2557291,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,4333214,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,3206543,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,1139222,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,6768331,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,1175328,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,5603283,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,8710116,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,4507532,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,4213808,Total active cycles for level _26_3_1
ramulator.active_cycles_27,28334219,Total active cycles for level _27
ramulator.active_cycles_27_0,7994355,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,1538681,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,6473024,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,6999064,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,4189745,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,2826931,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,4321580,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,2842920,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,1494255,Total active cycles for level _27_2_1
