Metric,Value,Description
ramulator.active_cycles_16_0,4391799,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,1153572,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,3245043,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,4369125,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,3215122,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,1160484,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,2742540,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,1247667,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,1502034,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,4213914,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,1064606,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,3155219,Total active cycles for level _16_3_1
ramulator.active_cycles_17,25147064,Total active cycles for level _17
ramulator.active_cycles_17_0,2282180,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,1142428,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,1151473,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,15648150,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,10834772,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,4824503,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,2300061,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,1165665,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,1143368,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,5418037,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,1055507,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,4374129,Total active cycles for level _17_3_1
ramulator.active_cycles_18,14633633,Total active cycles for level _18
ramulator.active_cycles_18_0,4342468,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,1141272,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,3212602,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,4338651,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,3207006,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,1142781,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,2268063,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,1153666,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,1123522,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,4160948,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,3116190,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,1056629,Total active cycles for level _18_3_1
ramulator.active_cycles_19,47340779,Total active cycles for level _19
ramulator.active_cycles_19_0,4369988,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,1145137,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,3235855,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,18828352,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,14185708,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,4653503,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,11348840,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,5760379,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,5598256,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,13276688,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,6696492,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,6592446,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,8666924,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,4486107,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,4192131,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,12028785,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,1139358,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,10900534,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,12018023,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,9149492,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,2877267,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,10040335,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,8994934,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,1056595,Total active cycles for level _1_3_1
ramulator.active_cycles_2,46351542,Total active cycles for level _2
ramulator.active_cycles_20,41528044,Total active cycles for level _20
ramulator.active_cycles_20_0,8800696,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,1159124,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,7652707,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,7907228,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,1162368,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,6755216,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,7691979,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,3229424,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,4481210,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,17662044,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,12008206,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,5664717,Total active cycles for level _20_3_1
ramulator.active_cycles_21,27950298,Total active cycles for level _21
ramulator.active_cycles_21_0,6299354,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,1140922,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,5170696,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,6950462,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,3742968,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,3219870,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,7170513,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,3115151,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,4065380,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,8013253,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,3802095,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,4223809,Total active cycles for level _21_3_1
ramulator.active_cycles_22,29913155,Total active cycles for level _22
ramulator.active_cycles_22_0,10643211,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,2252144,Total active cycles for level _22_0_0
