Workload,Instructions,Cycles,IPC,Execution_Time_s,L1I_Hits,L1I_Misses,L1I_Miss_Rate_%,L1D_Hits,L1D_Misses,L1D_Miss_Rate_%,L1_Hits,L1_Misses,L1_Miss_Rate_%,L2_Hits,L2_Misses,L2_Miss_Rate_%,L3_Hits,L3_Misses,L3_Miss_Rate_%,L1_MPKI,L2_MPKI,L3_MPKI,LFMR,L1I_Energy_pJ,L1D_Energy_pJ,L2_Energy_pJ,L3_Energy_pJ,Memory_Energy_pJ,CPU_Core_Energy_pJ,Total_Cache_Energy_pJ,Total_System_Energy_pJ,Average_Power_mW,Perf_Power_Ratio_IPC_per_mW
lsvm_client_host_final,8850506496,4859870793,1.8211,2.024946,271531314,17585596,6.08,195493691,13974490,6.67,195493691,13974490,6.67,25922148,4194645,13.93,630593,5007500,88.82,1.58,0.47,0.57,0.3583,4653294378.0,3393563535.0,1582520793.0,10130190385.0,10015000.0,485987079.3,19759569091.0,20255571170.3,10.003,182059.0991
lsvm_client_pim_compute_final,8673794334,5580565197,1.5543,2.325235,270496240,17959444,6.23,194355700,12638395,6.11,194355700,12638395,6.11,0,0,0.0,0,0,0.0,1.46,0.0,0.0,0.0,4650105252.0,3332402535.0,0.0,0.0,0.0,558056519.7,7982507787.0,8540564306.7,3.673,423166.5312
lsvm_client_pim_data_final,8681482002,5577548877,1.5565,2.323979,270570769,17962177,6.23,208293791,12623980,5.71,208293791,12623980,5.71,0,0,0.0,0,0,0.0,1.45,0.0,0.0,0.0,4651313376.0,3540998205.0,0.0,0.0,0.0,557754887.7,8192311581.0,8750066468.7,3.7651,413400.7645
lsvm_client_pim_network_final,8681420690,5577526538,1.5565,2.323969,270570269,17962149,6.23,208291170,12625547,5.72,208291170,12625547,5.72,0,0,0.0,0,0,0.0,1.45,0.0,0.0,0.0,4651304952.0,3541010601.0,0.0,0.0,0.0,557752653.8,8192315553.0,8750068206.8,3.7651,413397.7628
lsvm_pim_full,8673823452,5576417313,1.5554,2.323507,270496256,17959525,6.23,208246870,12625607,5.72,208246870,12625607,5.72,0,0,0.0,0,0,0.0,1.46,0.0,0.0,0.0,4650108165.0,3540348081.0,0.0,0.0,0.0,557641731.3,8190456246.0,8748097977.3,3.765,413129.0155
